str_date,str_time,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13
2016.04.01,10:15,160.999,160.873,160.891,161.231,161.25,161.03,160.928,160.935,160.873,160.841,160.694
2016.04.01,10:30,160.873,160.891,161.231,161.25,161.03,160.928,160.935,160.873,160.841,160.694,160.617
2016.04.01,10:45,160.891,161.231,161.25,161.03,160.928,160.935,160.873,160.841,160.694,160.617,160.575
2016.04.01,11:00,161.231,161.25,161.03,160.928,160.935,160.873,160.841,160.694,160.617,160.575,160.458
2016.04.01,11:15,161.25,161.03,160.928,160.935,160.873,160.841,160.694,160.617,160.575,160.458,160.225
2016.04.01,11:30,161.03,160.928,160.935,160.873,160.841,160.694,160.617,160.575,160.458,160.225,160.259
2016.04.01,11:45,160.928,160.935,160.873,160.841,160.694,160.617,160.575,160.458,160.225,160.259,160.315
2016.04.01,12:00,160.935,160.873,160.841,160.694,160.617,160.575,160.458,160.225,160.259,160.315,160.303
2016.04.01,12:15,160.873,160.841,160.694,160.617,160.575,160.458,160.225,160.259,160.315,160.303,160.378
2016.04.01,12:30,160.841,160.694,160.617,160.575,160.458,160.225,160.259,160.315,160.303,160.378,160.273
2016.04.01,12:45,160.694,160.617,160.575,160.458,160.225,160.259,160.315,160.303,160.378,160.273,160.412
2016.04.01,13:00,160.617,160.575,160.458,160.225,160.259,160.315,160.303,160.378,160.273,160.412,159.82
2016.04.01,13:15,160.575,160.458,160.225,160.259,160.315,160.303,160.378,160.273,160.412,159.82,159.585
2016.04.01,13:30,160.458,160.225,160.259,160.315,160.303,160.378,160.273,160.412,159.82,159.585,159.191
2016.04.01,13:45,160.225,160.259,160.315,160.303,160.378,160.273,160.412,159.82,159.585,159.191,159.256
2016.04.01,14:00,160.259,160.315,160.303,160.378,160.273,160.412,159.82,159.585,159.191,159.256,159.142
2016.04.01,14:15,160.315,160.303,160.378,160.273,160.412,159.82,159.585,159.191,159.256,159.142,158.956
2016.04.01,14:30,160.303,160.378,160.273,160.412,159.82,159.585,159.191,159.256,159.142,158.956,159.408
2016.04.01,14:45,160.378,160.273,160.412,159.82,159.585,159.191,159.256,159.142,158.956,159.408,159.268
2016.04.01,15:00,160.273,160.412,159.82,159.585,159.191,159.256,159.142,158.956,159.408,159.268,159.478
2016.04.01,15:15,160.412,159.82,159.585,159.191,159.256,159.142,158.956,159.408,159.268,159.478,159.413
2016.04.01,15:30,159.82,159.585,159.191,159.256,159.142,158.956,159.408,159.268,159.478,159.413,159.288
2016.04.01,15:45,159.585,159.191,159.256,159.142,158.956,159.408,159.268,159.478,159.413,159.288,159.106
2016.04.01,16:00,159.191,159.256,159.142,158.956,159.408,159.268,159.478,159.413,159.288,159.106,159.302
2016.04.01,16:15,159.256,159.142,158.956,159.408,159.268,159.478,159.413,159.288,159.106,159.302,159.139
2016.04.01,16:30,159.142,158.956,159.408,159.268,159.478,159.413,159.288,159.106,159.302,159.139,159.149
2016.04.01,16:45,158.956,159.408,159.268,159.478,159.413,159.288,159.106,159.302,159.139,159.149,159.027
2016.04.01,17:00,159.408,159.268,159.478,159.413,159.288,159.106,159.302,159.139,159.149,159.027,158.947
2016.04.01,17:15,159.268,159.478,159.413,159.288,159.106,159.302,159.139,159.149,159.027,158.947,158.9
2016.04.01,17:30,159.478,159.413,159.288,159.106,159.302,159.139,159.149,159.027,158.947,158.9,159.017
2016.04.01,17:45,159.413,159.288,159.106,159.302,159.139,159.149,159.027,158.947,158.9,159.017,158.928
2016.04.01,18:00,159.288,159.106,159.302,159.139,159.149,159.027,158.947,158.9,159.017,158.928,158.933
2016.04.01,18:15,159.106,159.302,159.139,159.149,159.027,158.947,158.9,159.017,158.928,158.933,158.834
2016.04.01,18:30,159.302,159.139,159.149,159.027,158.947,158.9,159.017,158.928,158.933,158.834,158.833
2016.04.01,18:45,159.139,159.149,159.027,158.947,158.9,159.017,158.928,158.933,158.834,158.833,158.878
2016.04.01,19:00,159.149,159.027,158.947,158.9,159.017,158.928,158.933,158.834,158.833,158.878,158.813
2016.04.01,19:15,159.027,158.947,158.9,159.017,158.928,158.933,158.834,158.833,158.878,158.813,158.787
2016.04.01,19:30,158.947,158.9,159.017,158.928,158.933,158.834,158.833,158.878,158.813,158.787,158.843
2016.04.01,19:45,158.9,159.017,158.928,158.933,158.834,158.833,158.878,158.813,158.787,158.843,158.728
2016.04.01,20:00,159.017,158.928,158.933,158.834,158.833,158.878,158.813,158.787,158.843,158.728,158.767
2016.04.01,20:15,158.928,158.933,158.834,158.833,158.878,158.813,158.787,158.843,158.728,158.767,158.805
2016.04.01,20:30,158.933,158.834,158.833,158.878,158.813,158.787,158.843,158.728,158.767,158.805,158.855
2016.04.01,20:45,158.834,158.833,158.878,158.813,158.787,158.843,158.728,158.767,158.805,158.855,158.807
2016.04.01,21:00,158.833,158.878,158.813,158.787,158.843,158.728,158.767,158.805,158.855,158.807,158.74
2016.04.01,21:15,158.878,158.813,158.787,158.843,158.728,158.767,158.805,158.855,158.807,158.74,158.729
2016.04.01,21:30,158.813,158.787,158.843,158.728,158.767,158.805,158.855,158.807,158.74,158.729,158.674
2016.04.01,21:45,158.787,158.843,158.728,158.767,158.805,158.855,158.807,158.74,158.729,158.674,158.797
2016.04.01,22:00,158.843,158.728,158.767,158.805,158.855,158.807,158.74,158.729,158.674,158.797,158.743
2016.04.01,22:15,158.728,158.767,158.805,158.855,158.807,158.74,158.729,158.674,158.797,158.743,158.627
2016.04.01,22:30,158.767,158.805,158.855,158.807,158.74,158.729,158.674,158.797,158.743,158.627,158.757
2016.04.01,22:45,158.805,158.855,158.807,158.74,158.729,158.674,158.797,158.743,158.627,158.757,158.82
2016.04.01,23:00,158.855,158.807,158.74,158.729,158.674,158.797,158.743,158.627,158.757,158.82,158.911
2016.04.01,23:15,158.807,158.74,158.729,158.674,158.797,158.743,158.627,158.757,158.82,158.911,158.866
2016.04.01,23:30,158.74,158.729,158.674,158.797,158.743,158.627,158.757,158.82,158.911,158.866,158.9
2016.04.01,23:45,158.729,158.674,158.797,158.743,158.627,158.757,158.82,158.911,158.866,158.9,158.925
2016.04.04,00:00,158.674,158.797,158.743,158.627,158.757,158.82,158.911,158.866,158.9,158.925,158.975
2016.04.04,00:15,158.797,158.743,158.627,158.757,158.82,158.911,158.866,158.9,158.925,158.975,158.862
2016.04.04,00:30,158.743,158.627,158.757,158.82,158.911,158.866,158.9,158.925,158.975,158.862,158.68
2016.04.04,00:45,158.627,158.757,158.82,158.911,158.866,158.9,158.925,158.975,158.862,158.68,158.78
2016.04.04,01:00,158.757,158.82,158.911,158.866,158.9,158.925,158.975,158.862,158.68,158.78,158.864
2016.04.04,01:15,158.82,158.911,158.866,158.9,158.925,158.975,158.862,158.68,158.78,158.864,158.682
2016.04.04,01:30,158.911,158.866,158.9,158.925,158.975,158.862,158.68,158.78,158.864,158.682,158.693
2016.04.04,01:45,158.866,158.9,158.925,158.975,158.862,158.68,158.78,158.864,158.682,158.693,158.63
2016.04.04,02:00,158.9,158.925,158.975,158.862,158.68,158.78,158.864,158.682,158.693,158.63,158.461
2016.04.04,02:15,158.925,158.975,158.862,158.68,158.78,158.864,158.682,158.693,158.63,158.461,158.607
2016.04.04,02:30,158.975,158.862,158.68,158.78,158.864,158.682,158.693,158.63,158.461,158.607,158.503
2016.04.04,02:45,158.862,158.68,158.78,158.864,158.682,158.693,158.63,158.461,158.607,158.503,158.655
2016.04.04,03:00,158.68,158.78,158.864,158.682,158.693,158.63,158.461,158.607,158.503,158.655,158.642
2016.04.04,03:15,158.78,158.864,158.682,158.693,158.63,158.461,158.607,158.503,158.655,158.642,158.757
2016.04.04,03:30,158.864,158.682,158.693,158.63,158.461,158.607,158.503,158.655,158.642,158.757,158.747
2016.04.04,03:45,158.682,158.693,158.63,158.461,158.607,158.503,158.655,158.642,158.757,158.747,158.727
2016.04.04,04:00,158.693,158.63,158.461,158.607,158.503,158.655,158.642,158.757,158.747,158.727,158.568
2016.04.04,04:15,158.63,158.461,158.607,158.503,158.655,158.642,158.757,158.747,158.727,158.568,158.491
2016.04.04,04:30,158.461,158.607,158.503,158.655,158.642,158.757,158.747,158.727,158.568,158.491,158.568
2016.04.04,04:45,158.607,158.503,158.655,158.642,158.757,158.747,158.727,158.568,158.491,158.568,158.562
2016.04.04,05:00,158.503,158.655,158.642,158.757,158.747,158.727,158.568,158.491,158.568,158.562,158.626
2016.04.04,05:15,158.655,158.642,158.757,158.747,158.727,158.568,158.491,158.568,158.562,158.626,158.603
2016.04.04,05:30,158.642,158.757,158.747,158.727,158.568,158.491,158.568,158.562,158.626,158.603,158.521
2016.04.04,05:45,158.757,158.747,158.727,158.568,158.491,158.568,158.562,158.626,158.603,158.521,158.336
2016.04.04,06:00,158.747,158.727,158.568,158.491,158.568,158.562,158.626,158.603,158.521,158.336,158.448
2016.04.04,06:15,158.727,158.568,158.491,158.568,158.562,158.626,158.603,158.521,158.336,158.448,158.405
2016.04.04,06:30,158.568,158.491,158.568,158.562,158.626,158.603,158.521,158.336,158.448,158.405,158.276
2016.04.04,06:45,158.491,158.568,158.562,158.626,158.603,158.521,158.336,158.448,158.405,158.276,158.393
2016.04.04,07:00,158.568,158.562,158.626,158.603,158.521,158.336,158.448,158.405,158.276,158.393,158.338
2016.04.04,07:15,158.562,158.626,158.603,158.521,158.336,158.448,158.405,158.276,158.393,158.338,158.338
2016.04.04,07:30,158.626,158.603,158.521,158.336,158.448,158.405,158.276,158.393,158.338,158.338,158.35
2016.04.04,07:45,158.603,158.521,158.336,158.448,158.405,158.276,158.393,158.338,158.338,158.35,158.443
2016.04.04,08:00,158.521,158.336,158.448,158.405,158.276,158.393,158.338,158.338,158.35,158.443,158.436
2016.04.04,08:15,158.336,158.448,158.405,158.276,158.393,158.338,158.338,158.35,158.443,158.436,158.543
2016.04.04,08:30,158.448,158.405,158.276,158.393,158.338,158.338,158.35,158.443,158.436,158.543,158.824
2016.04.04,08:45,158.405,158.276,158.393,158.338,158.338,158.35,158.443,158.436,158.543,158.824,158.64
2016.04.04,09:00,158.276,158.393,158.338,158.338,158.35,158.443,158.436,158.543,158.824,158.64,158.509
2016.04.04,09:15,158.393,158.338,158.338,158.35,158.443,158.436,158.543,158.824,158.64,158.509,158.349
2016.04.04,09:30,158.338,158.338,158.35,158.443,158.436,158.543,158.824,158.64,158.509,158.349,158.445
2016.04.04,09:45,158.338,158.35,158.443,158.436,158.543,158.824,158.64,158.509,158.349,158.445,158.583
2016.04.04,10:00,158.35,158.443,158.436,158.543,158.824,158.64,158.509,158.349,158.445,158.583,158.871
2016.04.04,10:15,158.443,158.436,158.543,158.824,158.64,158.509,158.349,158.445,158.583,158.871,158.807
2016.04.04,10:30,158.436,158.543,158.824,158.64,158.509,158.349,158.445,158.583,158.871,158.807,158.768
2016.04.04,10:45,158.543,158.824,158.64,158.509,158.349,158.445,158.583,158.871,158.807,158.768,158.806
2016.04.04,11:00,158.824,158.64,158.509,158.349,158.445,158.583,158.871,158.807,158.768,158.806,158.827
2016.04.04,11:15,158.64,158.509,158.349,158.445,158.583,158.871,158.807,158.768,158.806,158.827,158.899
2016.04.04,11:30,158.509,158.349,158.445,158.583,158.871,158.807,158.768,158.806,158.827,158.899,158.906
2016.04.04,11:45,158.349,158.445,158.583,158.871,158.807,158.768,158.806,158.827,158.899,158.906,158.959
2016.04.04,12:00,158.445,158.583,158.871,158.807,158.768,158.806,158.827,158.899,158.906,158.959,159.141
2016.04.04,12:15,158.583,158.871,158.807,158.768,158.806,158.827,158.899,158.906,158.959,159.141,159.225
2016.04.04,12:30,158.871,158.807,158.768,158.806,158.827,158.899,158.906,158.959,159.141,159.225,159.214
2016.04.04,12:45,158.807,158.768,158.806,158.827,158.899,158.906,158.959,159.141,159.225,159.214,159.383
2016.04.04,13:00,158.768,158.806,158.827,158.899,158.906,158.959,159.141,159.225,159.214,159.383,159.527
2016.04.04,13:15,158.806,158.827,158.899,158.906,158.959,159.141,159.225,159.214,159.383,159.527,159.434
2016.04.04,13:30,158.827,158.899,158.906,158.959,159.141,159.225,159.214,159.383,159.527,159.434,159.349
2016.04.04,13:45,158.899,158.906,158.959,159.141,159.225,159.214,159.383,159.527,159.434,159.349,159.288
2016.04.04,14:00,158.906,158.959,159.141,159.225,159.214,159.383,159.527,159.434,159.349,159.288,159.128
2016.04.04,14:15,158.959,159.141,159.225,159.214,159.383,159.527,159.434,159.349,159.288,159.128,159.162
2016.04.04,14:30,159.141,159.225,159.214,159.383,159.527,159.434,159.349,159.288,159.128,159.162,159.114
2016.04.04,14:45,159.225,159.214,159.383,159.527,159.434,159.349,159.288,159.128,159.162,159.114,159.083
2016.04.04,15:00,159.214,159.383,159.527,159.434,159.349,159.288,159.128,159.162,159.114,159.083,159.096
2016.04.04,15:15,159.383,159.527,159.434,159.349,159.288,159.128,159.162,159.114,159.083,159.096,158.958
2016.04.04,15:30,159.527,159.434,159.349,159.288,159.128,159.162,159.114,159.083,159.096,158.958,158.816
2016.04.04,15:45,159.434,159.349,159.288,159.128,159.162,159.114,159.083,159.096,158.958,158.816,158.71
2016.04.04,16:00,159.349,159.288,159.128,159.162,159.114,159.083,159.096,158.958,158.816,158.71,158.593
2016.04.04,16:15,159.288,159.128,159.162,159.114,159.083,159.096,158.958,158.816,158.71,158.593,158.728
2016.04.04,16:30,159.128,159.162,159.114,159.083,159.096,158.958,158.816,158.71,158.593,158.728,158.821
2016.04.04,16:45,159.162,159.114,159.083,159.096,158.958,158.816,158.71,158.593,158.728,158.821,158.825
2016.04.04,17:00,159.114,159.083,159.096,158.958,158.816,158.71,158.593,158.728,158.821,158.825,158.659
